ORDER_LINE_STATUS	ORDER_NUMBER	PLANNING_DATE	REQUESTED_DELIVERY_DATE	DEPARTURE_DATE	CUSTOMER_NUMBER	COUNTRY	CUSTOMERS_ORDER_NO	ORDER_LINE_DELIVERY_METHOD	ORDER_TYPE_CODE	ITEM_NUMBER	NAME	PROCUREMENT_GROUP_CODE	EAN_NUMBER	ORDER_LINE_NUMBER	WAREHOUSE	ORDERED_QUANTITY	NET_PRICE	PRICE	DELIVERY_NO
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.075	Ghost 18	FTW	195394871272	112	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.080	Ghost 18	FTW	195394871289	113	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.085	Ghost 18	FTW	195394871296	114	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.090	Ghost 18	FTW	195394871302	115	408	8	47,3	378,4	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.095	Ghost 18	FTW	195394871319	116	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.100	Ghost 18	FTW	195394871326	117	408	8	47,3	378,4	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.105	Ghost 18	FTW	195394871333	118	408	8	47,3	378,4	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.110	Ghost 18	FTW	195394871340	119	408	8	47,3	378,4	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.115	Ghost 18	FTW	195394871357	120	408	7	47,3	331,1	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.120	Ghost 18	FTW	195394871364	121	408	7	47,3	331,1	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.125	Ghost 18	FTW	195394871371	122	408	5	47,3	236,5	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D846.130	Ghost 18	FTW	195394871388	123	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.080	Ghost 18	FTW	195394868463	124	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.085	Ghost 18	FTW	195394868487	125	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.090	Ghost 18	FTW	195394868500	126	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.095	Ghost 18	FTW	195394868524	127	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.100	Ghost 18	FTW	195394868548	128	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.105	Ghost 18	FTW	195394868562	129	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.110	Ghost 18	FTW	195394868586	130	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.115	Ghost 18	FTW	195394868609	131	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E020.120	Ghost 18	FTW	195394868623	132	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E172.085	Ghost 18	FTW	195394869835	133	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E172.090	Ghost 18	FTW	195394869859	134	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E172.095	Ghost 18	FTW	195394869873	135	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E172.100	Ghost 18	FTW	195394869897	136	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104932E172.105	Ghost 18	FTW	195394869910	137	408	1	47,3	47,3	34586334
